Gene Name,Upregulated,Downregulated,Max
NDUFA10,0.5505615472793579,0.5410547256469727,0.5505615472793579
FBXO21,0.5505580306053162,0.5410547256469727,0.5505580306053162
RAB4B,0.5410547256469727,0.5505492687225342,0.5505492687225342
ATP6V0E1,0.550546407699585,0.5314927101135254,0.550546407699585
EIF2B5,0.5410547256469727,0.5505422949790955,0.5505422949790955
SLC35C2,0.5505404472351074,0.5410547256469727,0.5505404472351074
LMAN2,0.5505388379096985,0.5410547256469727,0.5505388379096985
ICE2,0.5410547256469727,0.5505356788635254,0.5505356788635254
XRCC1,0.5505319833755493,0.5410547256469727,0.5505319833755493
PHACTR2,0.5317027568817139,0.5505228042602539,0.5505228042602539
USP11,0.5505033731460571,0.5408328771591187,0.5505033731460571
CDC16,0.5504986047744751,0.5442894101142883,0.5504986047744751
ASXL2,0.5504730939865112,0.5410547256469727,0.5504730939865112
APPBP2,0.5504711866378784,0.5410547256469727,0.5504711866378784
GUSB,0.5504664778709412,0.5410547256469727,0.5504664778709412
KLHDC10,0.5504490733146667,0.506931483745575,0.5504490733146667
DIPK1A,0.5504453182220459,0.546795129776001,0.5504453182220459
SMARCC1,0.5495066046714783,0.5504441857337952,0.5504441857337952
CXCR1,0.5504252314567566,0.5441324710845947,0.5504252314567566
SLC2A1,0.5504119992256165,0.5410547256469727,0.5504119992256165
PIP5K1A,0.5504090189933777,0.5360444784164429,0.5504090189933777
EDC4,0.5410547256469727,0.5504016876220703,0.5504016876220703
HECA,0.550399124622345,0.5413142442703247,0.550399124622345
ARHGAP4,0.5503898859024048,0.5442562103271484,0.5503898859024048
TWF2,0.5503619909286499,0.547342836856842,0.5503619909286499
DGCR6,0.527893602848053,0.5503318309783936,0.5503318309783936
SSR2,0.5463473200798035,0.5503301024436951,0.5503301024436951
TSNAX,0.5454002022743225,0.5503017902374268,0.5503017902374268
GLRX3,0.5410547256469727,0.5502874255180359,0.5502874255180359
MED8,0.5502678155899048,0.5420416593551636,0.5502678155899048
FAM114A2,0.5502657890319824,0.5410547256469727,0.5502657890319824
PSMD2,0.5417672395706177,0.5502656102180481,0.5502656102180481
PIP4K2C,0.5502652525901794,0.5410547256469727,0.5502652525901794
IARS2,0.5410547256469727,0.5502596497535706,0.5502596497535706
GSR,0.5420301556587219,0.5502570271492004,0.5502570271492004
PNRC2,0.5419502258300781,0.5502491593360901,0.5502491593360901
SMARCAL1,0.5502485036849976,0.5410547256469727,0.5502485036849976
CNOT7,0.5486397743225098,0.5502302050590515,0.5502302050590515
DPYD,0.5473842024803162,0.5502297282218933,0.5502297282218933
GPR89B,0.5421724915504456,0.5502262711524963,0.5502262711524963
TIGAR,0.5413582921028137,0.5502248406410217,0.5502248406410217
SUMO2,0.5502223968505859,0.5410547256469727,0.5502223968505859
CSNK2A1,0.5502217411994934,0.5410547256469727,0.5502217411994934
FTL,0.5410547256469727,0.55022132396698,0.55022132396698
ABCC5,0.5416247844696045,0.5502158403396606,0.5502158403396606
DNASE1L1,0.5502097010612488,0.5410547256469727,0.5502097010612488
ZNF146,0.5412939190864563,0.550201952457428,0.550201952457428
DRG2,0.5501994490623474,0.5426012873649597,0.5501994490623474
MBTPS1,0.5501564145088196,0.5410547256469727,0.5501564145088196
DAXX,0.5410547256469727,0.5501527786254883,0.5501527786254883
E2F3,0.550152599811554,0.5410547256469727,0.550152599811554
DDT,0.5485690236091614,0.550148069858551,0.550148069858551
